VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video
C1.0L41019A000,CU,1.01,E,VVS2,,EX,EX,F,GIA,2.04,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/6481688426.pdf,,
C1.0L41033A000,CU,1.02,E,VS1,,EX,VG,N,GIA,2.16,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/2484688529.pdf,,
E.50L41002B000,EM,0.57,D,VVS1,,EX,EX,N,GIA,4.43,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/6485688221.pdf,,
E.75L410250000,EM,0.73,G,VVS2,,EX,VG,M,GIA,1.86,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/2488688183.pdf,,
E1.0L41004B000,EM,1.00,E,VVS2,,EX,EX,N,GIA,4.56,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/1489688488.pdf,,
E1.0L41014A100,EM,1.07,H,VVS1,,EX,EX,N,GIA,2.23,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/1489688381.pdf,,
E2.0L41002A000,EM,2.15,H,VS2,,EX,EX,N,GIA,4.43,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/6485687907.pdf,,
O1.8L41008A1A1,OV,1.85,G,VVS2,,EX,EX,F,GIA,3.94,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/2487688265.pdf,,
P.50L41003B000,PR,0.52,D,VVS1,,EX,VG,N,GIA,3.87,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/6482689200.pdf,,
R.75L41015A1A0,RB,0.84,D,VVS2,EX,EX,EX,M,GIA,1.86,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/1488688041.pdf,,
