VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH WEIGHT,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video,StockNumber,Img,Jewlery Video,JewelryType,Style,Metal,DiaWt,MainStone,Description ,Header,Main,Secondary
C1.0L40177A000,Cushion,1.09,M,VS2,EX,EX,EX,S,GIA,2.36,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2496110385.pdf,https://v3602586.v360.in/vision360.html?d=L40177,https://v3602586.v360.in/vision360.html?d=C1.0L40177A000,,,,,,,,,,,,
C1.0L40033A000,Cushion,1.03,FY,VS2,VG,EX,VG,F,GIA,2.54,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253271.pdf,https://v3602586.v360.in/vision360.html?d=L40033,https://v3602586.v360.in/vision360.html?d=C1.0L40033A000,,,,,,,,,,,,
C1.0L40090B000,Cushion,1,J,SI1,EX,EX,EX,N,GIA,7.25,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7496098380.pdf,https://v3602586.v360.in/vision360.html?d=L40090,https://v3602586.v360.in/vision360.html?d=C1.0L40090B000,,,,,,,,,,,,
C1.0L40176A100,Cushion,1,FY,VVS2,VG,VG,VG,N,GIA,2.06,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5231253462.pdf,https://v3602586.v360.in/vision360.html?d=L40176,https://v3602586.v360.in/vision360.html?d=C1.0L40176A100,,,,,,,,,,,,
C1.0L40179A000,Cushion,1.04,FY,VS1,EX,EX,EX,F,GIA,1.91,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253322.pdf,https://v3602586.v360.in/vision360.html?d=L40179,https://v3602586.v360.in/vision360.html?d=C1.0L40179A000,,,,,,,,,,,,
C1.0L40180A000,Cushion,1.01,FY,VS1,VG,EX,VG,N,GIA,1.96,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7235253200.pdf,https://v3602586.v360.in/vision360.html?d=L40180,https://v3602586.v360.in/vision360.html?d=C1.0L40180A000,,,,,,,,,,,,
C1.0L40181A000,Cushion,1,FY,VS1,VG,EX,VG,F,GIA,1.9,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2239253465.pdf,https://v3602586.v360.in/vision360.html?d=L40181,https://v3602586.v360.in/vision360.html?d=C1.0L40181A000,,,,,,,,,,,,
C1.0L40182A000,Cushion,1.01,FLY,VS1,VG,EX,VG,F,GIA,1.85,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5231253398.pdf,https://v3602586.v360.in/vision360.html?d=L40182,https://v3602586.v360.in/vision360.html?d=C1.0L40182A000,,,,,,,,,,,,
C1.0L40184A000,Cushion,1.01,FY,VS2,VG,EX,VG,N,GIA,2.15,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253395.pdf,https://v3602586.v360.in/vision360.html?d=L40184,https://v3602586.v360.in/vision360.html?d=C1.0L40184A000,,,,,,,,,,,,
C1.0L40186A000,Cushion,1.02,U-V,IF,VG,EX,VG,F,GIA,1.87,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6237253402.pdf,https://v3602586.v360.in/vision360.html?d=L40186,https://v3602586.v360.in/vision360.html?d=C1.0L40186A000,,,,,,,,,,,,
C1.0L40187A000,Cushion,1.05,FLY,VS1,VG,EX,VG,F,GIA,2.14,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5231253264.pdf,https://v3602586.v360.in/vision360.html?d=L40187,https://v3602586.v360.in/vision360.html?d=C1.0L40187A000,,,,,,,,,,,,
C1.0L40188A100,Cushion,1,U-V,VVS2,VG,EX,VG,F,GIA,1.87,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6237253464.pdf,https://v3602586.v360.in/vision360.html?d=L40188,https://v3602586.v360.in/vision360.html?d=C1.0L40188A100,,,,,,,,,,,,
C1.0L40195A000,Cushion,1.03,K,VS1,EX,EX,EX,N,GIA,1.88,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6495067135.pdf,https://v3602586.v360.in/vision360.html?d=L40195,https://v3602586.v360.in/vision360.html?d=C1.0L40195A000,,,,,,,,,,,,
C1.0L40215A100,Cushion,1.01,K,VS2,VG,EX,VG,N,GIA,1.83,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485989363.pdf,https://v3602586.v360.in/vision360.html?d=L40215,https://v3602586.v360.in/vision360.html?d=C1.0L40215A100,,,,,,,,,,,,
C1.0L40249A100,Cushion,1.01,FLY,VVS1,VG,EX,VG,N,GIA,1.94,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5234253400.pdf,https://v3602586.v360.in/vision360.html?d=L40249,https://v3602586.v360.in/vision360.html?d=C1.0L40249A100,,,,,,,,,,,,
C1.0L40251A100,Cushion,1.01,FLY,VS1,VG,VG,VG,N,GIA,1.96,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253368.pdf,https://v3602586.v360.in/vision360.html?d=L40251,https://v3602586.v360.in/vision360.html?d=C1.0L40251A100,,,,,,,,,,,,
C1.0L40257A000,Cushion,1.01,W-X,VVS2,VG,EX,VG,N,GIA,1.86,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253403.pdf,https://v3602586.v360.in/vision360.html?d=L40257,https://v3602586.v360.in/vision360.html?d=C1.0L40257A000,,,,,,,,,,,,
C1.0L40263A000,Cushion,1.07,U-V,VVS1,EX,EX,EX,N,GIA,1.95,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2239253459.pdf,https://v3602586.v360.in/vision360.html?d=L40263,https://v3602586.v360.in/vision360.html?d=C1.0L40263A000,,,,,,,,,,,,
C1.0L40266A000,Cushion,1.02,FLY,VS1,VG,EX,VG,F,GIA,1.93,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253454.pdf,https://v3602586.v360.in/vision360.html?d=L40266,https://v3602586.v360.in/vision360.html?d=C1.0L40266A000,,,,,,,,,,,,
C1.3L40029A100,Cushion,1.31,FIY,VS2,VG,VG,VG,N,GIA,2.56,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253405.pdf,https://v3602586.v360.in/vision360.html?d=L40029,https://v3602586.v360.in/vision360.html?d=C1.3L40029A100,,,,,,,,,,,,
C1.3L40260A100,Cushion,1.31,W-X,VS2,VG,EX,VG,N,GIA,2.5,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253287.pdf,https://v3602586.v360.in/vision360.html?d=L40260,https://v3602586.v360.in/vision360.html?d=C1.3L40260A100,,,,,,,,,,,,
C1.5L40022A000,Cushion,1.56,Y-Z,VVS1,VG,EX,VG,N,GIA,2.89,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253468.pdf,https://v3602586.v360.in/vision360.html?d=L40022,https://v3602586.v360.in/vision360.html?d=C1.5L40022A000,,,,,,,,,,,,
C1.5L40023A000,Cushion,1.53,FLY,VVS1,G,EX,G,N,GIA,3.34,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1236253404.pdf,https://v3602586.v360.in/vision360.html?d=L40023,https://v3602586.v360.in/vision360.html?d=C1.5L40023A000,,,,,,,,,,,,
